city_id,city_name,country,arena_id,arena_name,address,latitude,longitude,is_active,is_confirmed
17,Новополоцк,BY,30,Ледовый дворец,"ул. Молодёжная, 94Б",55.5069684,28.7024495,True,True
25,Озерный,BY,39,Крытый каток,"Минская обл., п. Озерный, ул. Московская, 151",52.0934,23.7577,True,True
18,Орша,BY,31,Ледовая арена,"ул. Владимира Ленина, 79",54.5217761,30.4381153,True,True
27,Островец,BY,41,Ледовая площадка,Октябрьская улица 39,54.6101379,25.9612152,True,True
11,Пинск,BY,24,Ледовая арена УСК «Волна»,"ул. Иркутско-Пинской дивизии, 46",52.1221795,26.1277244,True,True
14,Пружаны,BY,27,Ледовая арена ГУ СДЮШОР №2,"ул. Заводская, 15",52.5663378,24.4743121,True,True
4,Раубичи,BY,15,РЦОП по зимним видам спорта,"Минский район, Острошицко-Городской сельсовет",54.0628,27.7354,True,True
22,Светлогорск,BY,36,Ледовый дворец,"ул. Свердлова, 40",52.6311832,29.718548,True,True
5,Силичи,BY,16,Крытый каток РГЦ «Силичи»,"Минская обл., Логойский р-н, РГЦ «Силичи»",54.1565,27.8349,True,True
7,Солигорск,BY,19,Спортивно-зрелищный комплекс,"ул. К. Заслонова, 25",52.7909489,27.5366473,True,True
28,Шклов,BY,42,Ледовая арена,ул. Почтовая 2,54.2044194,30.3049466,True,True
30,Москва/МО,RU,91,Arena Play Север,"Ботаническая улица 2, ст.1",55.8414086,37.5861316,True,True
30,Москва/МО,RU,92,Arena Play Технополис,"Зеленоград, территория ОЭЗ Технополис Москва",56.0065,37.1565,True,True
30,Москва/МО,RU,84,Arena Play ЮГ/Коммунарка,"ул. Александры Монаховой, 21Б",55.5529706,37.4890426,True,True
30,Москва/МО,RU,55,"""Mega Ice"" в ТРЦ Авиапарк","Ходынский бульвар, 4",55.791094,37.5284881,True,True
30,Москва/МО,RU,87,Riga Ice Land,"Новорижское ш. 26-й км, с6",55.78579,37.243235,True,True
30,Москва/МО,RU,133,АйсПарк,"Московская область, Жуковский, Молодёжная улица, 9",55.589886,38.106518,True,True
30,Москва/МО,RU,45,Академия льда,"1-й Стрелецкий пр., 14",55.798676,37.6089811,True,True
30,Москва/МО,RU,62,Апиа Арена,Яблочкова 7,55.8165783,37.5792566,True,True
30,Москва/МО,RU,89,Арена «Айсберг»,"г. Химки, мкр. Левобережный, ул. Пожарского, 22А",55.89008,37.48676,True,True
30,Москва/МО,RU,70,"Арена ""Морозово""","Новоостаповская ул., 5, стр. 2",55.722366,37.6795376,True,True
30,Москва/МО,RU,90,Арена Мытищи,"г. Мытищи, Лётная ул., 17",55.91081,37.72669,True,True
30,Москва/МО,RU,51,Арена «Олимпийская деревня-80»,"Мичуринский пр-т, Олимпийская деревня, 2с1",55.6766,37.4674,True,True
30,Москва/МО,RU,139,Арена Пехорка,"Московская область, Балашиха, Парковая улица, 2А",55.799178,37.941379,True,True
30,Москва/МО,RU,93,Баума Арена,"Московская область, городской округ Красногорск, рабочий посёлок Нахабино, Парковая улица, 25",55.833572,37.159521,True,True
30,Москва/МО,RU,157,Вершина,"Москва, Шипиловский проезд • парк Царицыно",55.7656301,37.6469439,True,True
30,Москва/МО,RU,53,ВТБ Арена,"Ленинградский пр-т, 36",55.7912927,37.5586382,True,True
30,Москва/МО,RU,52,Дворец спорта «Мегаспорт» им. А. В. Тарасова,"Ходынский бульвар, 3",55.7865724,37.5398937,True,True
30,Москва/МО,RU,127,ДС Олимпийский им. В. С. Максимова,"Московская область, Чехов, Московская улица, 104",55.158737,37.452945,True,True
30,Москва/МО,RU,121,Искусственный каток,"Москва, Бесединское шоссе, 15",55.632299,37.761803,True,True
30,Москва/МО,RU,137,Каток Берёзки,"Московская область, Одинцовский городской округ, деревня Солослово, КП Резиденции Берёзки ривер вилладж, 314",55.708892,37.168128,True,True
30,Москва/МО,RU,85,Каток в Коммунарке,исторический район Старая Коммунарка,55.5679,37.4789,True,True
30,Москва/МО,RU,118,Каток в районе Савелки,"Москва, Зеленоград, Озёрная аллея, 4",55.990425,37.221294,True,True
30,Москва/МО,RU,120,Каток в ТРЦ Вегас,Хорошёвский проезд 14,55.720524,37.3790341,True,True
30,Москва/МО,RU,64,Каток «Калейдоскоп»,"ул. Сходненская, 56 (ТРЦ «Калейдоскоп»)",55.8504655,37.4444565,True,True
30,Москва/МО,RU,73,Каток «Ледо»,улица Юности 1Б,55.7365191,37.8171343,True,True
30,Москва/МО,RU,119,Каток на Ангарской,"Москва, Северный административный округ, Дмитровский район, 14-й микрорайон",55.875952,37.525547,True,True
30,Москва/МО,RU,153,Каток на Челобитьевском шоссе,"Москва, Северо-Восточный административный округ, район Северный, 1-й микрорайон",55.929837,37.545731,True,True
30,Москва/МО,RU,75,Каток ТК Город,Рязанский проспект 2к2,55.7296939,37.7309467,True,True
30,Москва/МО,RU,155,Красногорск Арена,"Московская область, Красногорск, Лесная улица, 1А",55.830593,37.324612,True,True
30,Москва/МО,RU,86,Крокус Сити (Каток «Ледо»),"г. Красногорск, ул. Международная, 12",55.8209,37.3875,True,True
30,Москва/МО,RU,130,Крытый каток,"Московская область, Жуковский, улица Пушкина, 3",55.589249,38.124294,True,True
30,Москва/МО,RU,56,Крытый ледовый каток ЦСКА,ул. Авиаконструкторов Микояна 10,55.7931,37.5355,True,True
30,Москва/МО,RU,140,Крытый тренировочный каток имени А.С. Ионова,"Московская область, Электросталь, Спортивная улица, 10",55.796936,38.477709,True,True
30,Москва/МО,RU,59,ЛД «Синяя Птица»,"ул. Бестужевых, 9Б",55.8713012,37.5996554,True,True
30,Москва/МО,RU,154,Легенда,"Московская область, Домодедово, микрорайон Центральный, улица Кирова, 30",55.8666164,37.4945853,True,True
30,Москва/МО,RU,129,Легенда 77,"Москва, Даниловская набережная, 8А",55.735674,37.4483083,True,True
30,Москва/МО,RU,48,Лёд на Мосфильмовской,Мосфильмовская 41к2,55.7100745,37.5102341,True,True
30,Москва/МО,RU,125,Ледовая арена,"Московская область, городской округ Серпухов, посёлок Пограничный, 4В",55.6385838,37.5244304,True,True
30,Москва/МО,RU,138,Ледовая арена,"Москва, Профсоюзная улица, 93",55.6385838,37.5244304,True,True
30,Москва/МО,RU,145,Ледовая арена,"Московская область, Богородский городской округ, Ногинск, улица Климова, 48А",55.6385838,37.5244304,True,True
30,Москва/МО,RU,124,Ледовая арена Б-Класс,"Московская область, Серпухов, Московское шоссе, 55, корп. 1",54.940896,37.404936,True,True
30,Москва/МО,RU,128,Ледовая арена имени В.В. Каменского,"Московская область, Воскресенск, микрорайон Центральный, улица Менделеева, 2/1",55.323674,38.66799,True,True
30,Москва/МО,RU,126,Ледовая арена имени Н.А. Петрусевой,"Московская область, Павловский Посад, Большая Покровская улица, 60В",55.772591,38.653497,True,True
30,Москва/МО,RU,114,Ледовая арена им.Касатонова,"Королев, Октябрьский бульвар 10 стр 1",55.918933,37.864757,True,True
30,Москва/МО,RU,72,Ледовая арена «Некрасовка»,Покровская улица 22,55.7038475,37.9294095,True,True
30,Москва/МО,RU,76,"Ледовая арена ""Пингвины""",Булатниковская улица 2Б,55.5805841,37.6532219,True,True
30,Москва/МО,RU,148,Ледовая арена ПСБ Патриот,"Московская область, Одинцовский городской округ, территориальное управление Кубинка",55.564745,36.830145,True,True
